Date,Returns
23/02/1999,-0.004163218
24/02/1999,0.005434741
25/02/1999,-0.002910582
26/02/1999,-0.007923207
01/03/1999,0.004623728
02/03/1999,0.013807532
03/03/1999,-0.005777941
04/03/1999,0.00622665
05/03/1999,-0.004537995
08/03/1999,0.009946208
09/03/1999,-0.007386151
10/03/1999,0.014468809
11/03/1999,0.019967379
12/03/1999,0.055533339
15/03/1999,-0.061317222
16/03/1999,-0.032258025
17/03/1999,0.041666667
18/03/1999,0.03599998
19/03/1999,-0.016602317
22/03/1999,-0.004711386
23/03/1999,-0.033530591
24/03/1999,-0.007346959
25/03/1999,-0.001644696
26/03/1999,-0.011532146
29/03/1999,0.010833333
30/03/1999,-0.024319868
31/03/1999,-0.006759611
01/04/1999,0.03360268
05/04/1999,-0.019753067
06/04/1999,-0.013434068
07/04/1999,-0.008510681
08/04/1999,0.009442125
09/04/1999,-0.001700723
12/04/1999,0.00681431
13/04/1999,-0.006345157
14/04/1999,-0.00170281
15/04/1999,0.005117207
16/04/1999,0.018243552
19/04/1999,0.002499979
20/04/1999,0
21/04/1999,0.020365732
22/04/1999,0.013034705
23/04/1999,-0.005227221
26/04/1999,0.004042037
27/04/1999,0.002415439
28/04/1999,-0.002409619
29/04/1999,-0.007648973
30/04/1999,0.002028458
03/05/1999,-0.008097206
04/05/1999,0.003265306
05/05/1999,0.015052929
06/05/1999,-0.002004068
07/05/1999,-0.004016084
10/05/1999,0.004435524
11/05/1999,0.018466519
12/05/1999,-0.012219215
13/05/1999,-0.023144454
14/05/1999,-0.020424837
17/05/1999,-0.021267724
18/05/1999,0.011504069
19/05/1999,0.016006782
20/05/1999,-0.004975166
21/05/1999,0.012916646
24/05/1999,-0.01234058
25/05/1999,-0.011245314
26/05/1999,-0.01010952
27/05/1999,-0.013191468
28/05/1999,-0.00043122
01/06/1999,-0.003019845
02/06/1999,0.002163544
03/06/1999,-0.003454231
04/06/1999,0.012565035
07/06/1999,0.02053913
08/06/1999,0.003773585
09/06/1999,-0.014202172
10/06/1999,-0.012288178
11/06/1999,-0.003861004
14/06/1999,-0.009905233
15/06/1999,0.006959526
16/06/1999,0.004319676
17/06/1999,-0.001290344
18/06/1999,-0.02024115
21/06/1999,0.006593385
22/06/1999,-0.018777293
23/06/1999,0.007120583
24/06/1999,-0.012372891
25/06/1999,-0.002684541
28/06/1999,-0.004037685
29/06/1999,0.009909864
30/06/1999,-0.000892083
01/07/1999,0.002678549
02/07/1999,0.014247619
06/07/1999,0.009218591
07/07/1999,0.008699456
08/07/1999,0
09/07/1999,-0.012074191
12/07/1999,-0.003055434
13/07/1999,-0.005691813
14/07/1999,0.006605086
15/07/1999,-0.002624737
16/07/1999,-0.000438509
19/07/1999,-0.0048267
20/07/1999,-0.007054674
21/07/1999,-0.003996448
22/07/1999,-0.004458337
23/07/1999,-0.008060927
26/07/1999,-0.007674944
27/07/1999,-0.004094632
28/07/1999,-0.011877593
29/07/1999,0.003698567
30/07/1999,-0.02026709
02/08/1999,-0.023037141
03/08/1999,0.003368624
04/08/1999,-0.005275803
05/08/1999,0.008678881
06/08/1999,-0.02485662
09/08/1999,-0.012254902
10/08/1999,0.010421886
11/08/1999,0.043221978
12/08/1999,0.004237288
13/08/1999,-0.013595827
16/08/1999,-0.014733911
17/08/1999,-0.011095008
18/08/1999,-0.013170756
19/08/1999,-0.006426051
20/08/1999,0.005472562
23/08/1999,0.01781299
24/08/1999,-0.006319835
25/08/1999,-0.012230919
26/08/1999,-0.005448266
27/08/1999,0.006474054
30/08/1999,-0.008411579
31/08/1999,-0.000499027
01/09/1999,0.009984972
02/09/1999,0.001977311
03/09/1999,0
07/09/1999,-0.008386778
08/09/1999,-0.002487637
09/09/1999,-0.001994963
10/09/1999,-0.005497276
13/09/1999,-0.006030101
14/09/1999,-0.017694641
15/09/1999,0.012866701
16/09/1999,0.013719537
17/09/1999,0.00651624
20/09/1999,0.003486031
21/09/1999,-0.006451563
22/09/1999,-0.022977072
23/09/1999,-0.005623645
24/09/1999,-0.005655578
27/09/1999,-0.014994881
28/09/1999,-0.018372599
29/09/1999,-0.002139091
30/09/1999,-0.005359084
01/10/1999,-0.010775808
04/10/1999,0.032135103
05/10/1999,0.011609445
06/10/1999,0.01043302
07/10/1999,-0.013939106
08/10/1999,0.004188482
11/10/1999,0.014077189
12/10/1999,-0.02107969
13/10/1999,0.006827678
14/10/1999,-0.004173187
15/10/1999,-0.014143557
18/10/1999,-0.012221015
19/10/1999,0.009144701
20/10/1999,-0.009594883
21/10/1999,-0.031216362
22/10/1999,0.005
25/10/1999,0.01381979
26/10/1999,0.011995611
27/10/1999,0.007004364
28/10/1999,0.044943819
29/10/1999,0.070148437
01/11/1999,-0.001435335
02/11/1999,0.025874412
03/11/1999,0.005604881
04/11/1999,0.004644612
05/11/1999,-0.014794245
08/11/1999,-0.020178344
09/11/1999,-0.035440591
10/11/1999,-0.014399156
11/11/1999,-0.01360204
12/11/1999,0.005107278
15/11/1999,-0.014227693
16/11/1999,-0.020103068
17/11/1999,-0.003682246
18/11/1999,0.012143585
19/11/1999,-0.032342254
22/11/1999,0.029110568
23/11/1999,-0.010476716
24/11/1999,0.003176363
26/11/1999,-0.006332506
29/11/1999,-0.004779607
30/11/1999,-0.004802588
01/12/1999,-0.002680912
02/12/1999,-0.005376371
03/12/1999,-0.005405432
06/12/1999,-0.002173859
07/12/1999,-0.013616557
08/12/1999,-0.00607402
09/12/1999,-0.008333306
10/12/1999,0.001120476
13/12/1999,-0.001119222
14/12/1999,-0.021288571
15/12/1999,0.005151689
16/12/1999,-0.013667426
17/12/1999,0.013279417
20/12/1999,0.000569829
21/12/1999,-0.017084254
22/12/1999,-0.002896929
23/12/1999,-0.002324172
27/12/1999,-0.000582411
28/12/1999,-0.002330944
29/12/1999,0.002920502
30/12/1999,-0.004076849
31/12/1999,0.070175349
03/01/2000,-0.0355191
04/01/2000,-0.034560823
05/01/2000,0.016431836
06/01/2000,0.041570527
07/01/2000,0.008869179
10/01/2000,-0.003846264
11/01/2000,-0.018753338
12/01/2000,-0.01911186
13/01/2000,0.008595959
14/01/2000,-0.033522755
18/01/2000,-0.000587889
19/01/2000,0.005294118
20/01/2000,-0.005266238
21/01/2000,0.006470618
24/01/2000,-0.006429018
25/01/2000,0.001764735
26/01/2000,0.002348737
27/01/2000,-0.006444083
28/01/2000,-0.021226328
31/01/2000,-0.008433825
01/02/2000,0.017618531
02/02/2000,-0.020895552
03/02/2000,0.018292775
04/02/2000,-0.008982155
07/02/2000,0.005438097
08/02/2000,-0.017427825
09/02/2000,-0.028746207
10/02/2000,-0.025188948
11/02/2000,-0.026485789
